"velvollisuus";"devoir, responsabilité";;"nom"
"veltto";"mou, flasque, paresseux";;"adjectif"
"velli";"porridge liquide";;"nom"
"velka";"prêt (argent)";;"nom"
"veljekset";"frères";;"nom"
"veli";"frère";;"nom"
"veitsi";"couteau";;"nom"
"veistos";"sculpture";;"nom"
"veikeä";"amusant, jovial";;"adjectif"
"veikata";"deviner/parier";;"verbe"
"vehnä";"blé";;"nom"
"WC";"toilettes";;"nom"
"vauva";"bébé";;"nom"
"vauras";"riche";;"adjectif"
"vauhti";"vitesse";;"nom"
"vauhdikas";"rapide";;"adjectif"
"vatsa";"ventre";;"nom"
"vatkata";"battre, mélanger, secouer";;"verbe"
"vati";"bassine, plat, soucoupe";;"nom"
"vastustaa";"être opposé/s'opposer à/résister";;"verbe"
"vastenmielinen";"dégoutant, repoussant";;"adjectif"
"vastaus";"réponse";;"nom"
"vastakohta";"opposé, contraire";;"nom"
"vastaanottokeskus";"centre d'hébergement pour réfugiés";;"nom"
"vasikka";"veau";;"nom"
"vasen";"gauche";;"adjectif"
"vasara";"marteau";;"nom"
"vasa";"faon";;"nom"
"varvas";"orteil";;"nom"
"varusnainen";"conscrite";;"nom"
"varusmies";"conscrit";;"nom"
"vartioida";"garder, surveiller";;"verbe"
"vartija";"gardien, agent de sécurité";;"nom"
"vartalo";"corps";;"nom"
"varsi";"tige/poignée, bras/jambe (chaussette, chaussure)";;"nom"
"varsa";"poulain";;"nom"
"varpunen";"moineau";;"nom"
"varovainen";"prudent";;"adjectif"
"varoitus";"avertissement";;"nom"
"varoittaa";"avertir, prévenir d'un danger";;"verbe"
"varoa";"faire attention";;"verbe"
"varma";"sûr, certain";;"adjectif"
"varjo";"ombre";;"nom"
"varis";"corbeau";;"nom"
"varattu";"réservé";;"adjectif"
"varata";"réserver, prendre rendez-vous";;"verbe"
"varasto";"entrepôt, lieu de stockage";;"nom"
"varastaa";"voler, dérober";;"verbe"
"varas";"voleur";;"nom"
"varakas";"riche";;"adjectif"
"vappu";"premier mai (fête)";;"nom"
"vapista";"trembler, greloter";;"verbe"
"vappapäivä";"jour de repos ";;"nom"
"vapaa-aika";"temps libre";;"nom"
"vapaa";"libre";;"adjectif"
"vannoa";"jurer, promettre";;"verbe"
"vankkurit";"charrette";;"nom"
"vankila";"prison";;"nom"
"vanki";"prisonnier";;"nom"
"vanhus";"personne âgé";;"nom"
"vanhentua";"vieillir";;"verbe"
"vanhemmat";"parents";;"nom"
"vanhainkoti";"maison de retraite";;"nom"
"vangita";"emprisonner";;"verbe"
"vammainen";"handicapé";;"adjectif"
"vamma";"handicap";;"nom"
"valvoa";"être/rester reveillé/surveiller";;"verbe"
"valuutta";"monnaie";;"nom"
"valua";"couler (liquide)";;"verbe"
"valtio";"état (politique)";;"nom"
"valtaväestö";"majorité";;"nom"
"valtava";"énorme, colossal";;"adjectif"
"valtatie";"route principale, autoroute";;"nom"
"valtameri";"océan";;"nom"
"valta";"pouvoir";;"nom"
"valssi";"valse";;"nom"
"valpas";"attentif, en alerte";;"adjectif"
"valokuvata";"filmer";;"verbe"
"valokuvaaja";"réalisateur";;"nom"
"valokuva";"film";;"nom"
"valoisa";"lumineux";;"adjectif"
"valo";"lumière";;"nom"
"valmistua";"être complété, être prêt";;"verbe"
"valmistaa";"préparer, produire";;"verbe"
"valmis";"prêt";;"adjectif"
"valmentaja";"entraineur";;"nom"
"valkosipuli";"ail";;"nom"
"valkoinen";"blanche";;"adjectif"
"valittaa";"se plaindre";;"verbe"
"valhe";"mensonge";;"nom"
"valehdella";"mentir";;"verbe"
"valas";"baleine";;"nom"
"valaista";"éclairer";;"verbe"
"valaisin";"éclairage";;"nom"
"vakuutusyhtiö";"société d'assurance";;"nom"
"vakuutus";"assurance (voiture, ...)";
"vakuuttaa";"assurer (jurer ou couvrir financièrement)";;"verbe"
"vakoilla";"espionner";;"verbe"
"vakituinen";"permanent, fixe";;"adjectif"
"vakava";"sérieux, grave";;"adjectif"
"vajota";"couler (bateau)";;"verbe"
"vaja";"cabane de jardin";;"nom"
"vaivata";"troubler, perturber, embêter/pétrir";;"verbe"
"vaivalloinen";"difficile";;"adjectif"
"vaippa";"couche";;"verbe"
"vainuta";"sentir (une proie, une piste, un danger)";;"verbe"
"vainaja";"défunt";;"nom"
"vaimo";"femme, épouse";;"nom"
"vaikuttaa";"sembler/faire de l'effet, influencer";;"verbe"
"vaikea";"difficile";
"vaihtaa";"changer, échanger";;"verbe"
"vahva";"fort";;"adjectif"
"vahtia";"garder, surveiller";;"verbe"
"vahinko";"accident";;"nom"
"vaeltaa";"parcourir (long trajet)";;"verbe"
"vadelma";"framboise";;"nom"
"vaatimaton";"modeste, humble, simple";;"adjectif"
"vaatia";"demander, exiger";;"verbe"
"vaate";"vêtement";;"nom"
"vaaraton";"sans danger";;"adjectif"
"vaarallinen";"dangereux";;"adjectif"
"vaara";"danger";;"nom"
"vaalit";"éléction";;"nom"
"vaalea";"clair";;"adjectif"
"vaaka";"balance (poids)";;"nom"
"vaahto";"mousse";;"nom"
"uutinen";"nouvelle/infos radios ou télé";;"nom"
"uusivuosi";"nouvel an/année";;"nom"
"uusi";"neuf, nouveau";;"adjectif"
"uurastaa";"travailler dur";;"verbe"
"uupua";"être/devenir épuisé, fatigué/manquer";;"verbe"
"uuni";"four";;"nom"
"utelias";"curieux";;"adjectif"
"uskonto";"religion";;"nom"
"uskomaton";"incroyable";;"adjectif"
"uskaltaa";"oser";;"verbe"
"urut";"orgue";;"nom"
"uros";"mâle (animal)";;"nom"
"urheilu";"sport";;"nom"
"urheilla";"faire du sport";;"verbe"
"urheilija";"sportif, athlète";;"nom"
"upporikas";"riche comme crésus";;"adjectif"
"upouusi";"tout neuf";;"adjectif"
"upota";"plonger";;"verbe"
"upea";"splendide";;"adjectif"
"unohtaa";"oublier";;"verbe"
"univormu";"uniforme";;"nom"
"uni";"sommeil/rêve";;"nom"
"unelmoida";"faire un rêve";;"verbe"
"unelma";"rêve ";;"nom"
"unelias";"somnolent";;"adjectif"
"uneksia";"rêver";;"verbe"
"undulaatti";"peruche ondulée";;"nom"
"umpisolmu";"nœud très serré, bloqué";;"nom"
"umpikuja";"impasse";;"nom"
"ulvoa";"hurler";;"verbe"
"uloskäynti";"porte de sortie";;"nom"
"ullakko";"grenier";;"nom"
"ulkonäkö";"apparence";;"nom"
"ulkomainen";"étranger (chose)";;"adjectif"
"ulkomaat";"pays étrangers";;"nom"
"ulkomaalainen";"étranger (personne)";;"adjectif"
"ulkoilla";"se promener";;"verbe"
"ulappa";"large (mer), haute mer";;"nom"
"ukkostaa";"tonner";;"verbe"
"ukkonen";"tonnerre";;"nom"
"ukko";"vieil homme";;"nom"
"ujostella";"être timide, rougir";;"verbe"
"ujo";"timide";;"adjectif"
"uimaranta";"plage (de nage)";;"nom"
"uimapuku";"maillot de bain (femme, une pièce)";;"nom"
"uimahousut";"maillot de bain (homme)";;"nom"
"uimahalli";"piscine (batiment)";;"nom"
"uima-allas";"piscine, bassin";;"nom"
"uida";"nager";;"verbe"
"uhri";"victime";;"nom"
"uhkarohkea";"audacieux, hardi";;"adjectif"
"uhata";"menacer";;"verbe"
"uhanalainen";"menacé d'extinction";;"adjectif"
"udella";"faire le curieux";;"verbe"
"töykeä";"impoli, brusque";;"adjectif"
"törmätä";"rentrer/cogner dans qqch/qqn par accident";;"verbe"
"töniä";"pousser (qqn), repousser";;"verbe"
"tölkki";"pot";;"nom"
"tökkiä";"toucher avec un bâton, sonder";;"nom"
"täytyä";"devoir (faire qqch)";;"verbe"
"täyttää";"remplir/fêter (x années aujourd'hui)";;"verbe"
"täyttyä";"se remplir/se réaliser";;"verbe"
"täytekakku";"gâteau (à étages)";;"nom"
"täysikuu";"pleine lune";;"nom"
"täysi-ikäinen";"majeur (âge)";;"adjectif"
